nr,nazwa,pp,numberOfSeeds,seeds,totalNumberOfSeeds,numberOfNodes,steps,infectedTotal,infectedTotalPercentage,computionalTime,limitPercentage
5,12,0.1,1,1,11,1133,36,487,42.983230361871136,[],1
5,12,0.1,2,2,11,1133,26,485,42.806707855251545,[],1
5,12,0.1,4,4,11,1133,18,480,42.36540158870256,[],1
5,12,0.1,8,8,11,1133,12,474,41.83583406884378,[],1
5,12,0.1,16,16,11,1133,11,471,41.57105030891439,[],1
4,12,0.1,1,1,11,1133,40,386,34.06884377758164,[],1
4,12,0.1,2,2,11,1133,26,379,33.451015004413065,[],1
4,12,0.1,4,4,11,1133,22,372,32.83318623124448,[],1
4,12,0.1,8,8,11,1133,16,341,30.097087378640776,[],1
4,12,0.1,16,16,11,1133,15,340,30.008826125330977,[],1
6,12,0.1,1,1,11,1133,38,361,31.862312444836714,[],1
6,12,0.1,2,2,11,1133,30,360,31.77405119152692,[],1
6,12,0.1,4,4,11,1133,22,356,31.42100617828773,[],1
6,12,0.1,8,8,11,1133,13,309,27.27272727272727,[],1
6,12,0.1,16,16,11,1133,12,313,27.62577228596646,[],1
7,12,0.1,1,1,11,1133,43,414,36.54015887025596,[],1
7,12,0.1,2,2,11,1133,28,413,36.45189761694616,[],1
7,12,0.1,4,4,11,1133,22,408,36.01059135039718,[],1
7,12,0.1,8,8,11,1133,12,367,32.3918799646955,[],1
7,12,0.1,16,16,11,1133,11,364,32.12709620476611,[],1
10,12,0.1,1,1,11,1133,42,413,36.45189761694616,[],1
10,12,0.1,2,2,11,1133,36,413,36.45189761694616,[],1
10,12,0.1,4,4,11,1133,20,411,36.27537511032657,[],1
10,12,0.1,8,8,11,1133,15,395,34.863195057369815,[],1
