nr,nazwa,pp,numberOfSeeds,seeds,totalNumberOfSeeds,numberOfNodes,step,infectedPerStep,infectedTotal,infectedTotalPercentage,computionalTime,limitPercentage
5,12,0.1,1,[104],1,1133,1,11,12,1.059135039717564,[],1
5,12,0.1,1,[104],1,1133,2,18,30,2.64783759929391,[],1
5,12,0.1,1,[104],1,1133,3,26,56,4.942630185348632,[],1
5,12,0.1,1,[104],1,1133,4,42,98,8.649602824360105,[],1
5,12,0.1,1,[104],1,1133,5,71,169,14.916151809355693,[],1
5,12,0.1,1,[104],1,1133,6,74,243,21.44748455428067,[],1
5,12,0.1,1,[104],1,1133,7,53,296,26.12533097969991,[],1
5,12,0.1,1,[104],1,1133,8,59,355,31.332744924977934,[],1
5,12,0.1,1,[104],1,1133,9,42,397,35.039717563989406,[],1
5,12,0.1,1,[104],1,1133,10,34,431,38.0406001765225,[],1
5,12,0.1,1,[104],1,1133,11,16,447,39.45278022947926,[],1
5,12,0.1,1,[104],1,1133,12,10,457,40.33539276257723,[],1
5,12,0.1,1,[104],1,1133,13,4,461,40.68843777581642,[],1
5,12,0.1,1,[104],1,1133,14,1,462,40.77669902912621,[],1
5,12,0.1,1,[104],1,1133,15,2,464,40.95322153574581,[],1
5,12,0.1,1,[104],1,1133,16,3,467,41.2180052956752,[],1
5,12,0.1,1,[104],1,1133,17,0,467,41.2180052956752,[],1
5,12,0.1,1,[40],2,1133,18,0,468,41.30626654898499,[],1
5,12,0.1,1,[182],3,1133,19,2,471,41.57105030891439,[],1
5,12,0.1,1,[182],3,1133,20,1,472,41.65931156222418,[],1
5,12,0.1,1,[182],3,1133,21,0,472,41.65931156222418,[],1
5,12,0.1,1,[587],4,1133,22,0,473,41.74757281553398,[],1
5,12,0.1,1,[127],5,1133,23,0,474,41.83583406884378,[],1
5,12,0.1,1,[44],6,1133,24,1,476,42.01235657546337,[],1
5,12,0.1,1,[44],6,1133,25,1,477,42.10061782877317,[],1
5,12,0.1,1,[44],6,1133,26,0,477,42.10061782877317,[],1
5,12,0.1,1,[37],7,1133,27,0,478,42.18887908208296,[],1
5,12,0.1,1,[774],8,1133,28,1,480,42.36540158870256,[],1
5,12,0.1,1,[774],8,1133,29,0,480,42.36540158870256,[],1
5,12,0.1,1,[211],9,1133,30,0,481,42.453662842012356,[],1
5,12,0.1,1,[589],10,1133,31,1,483,42.63018534863195,[],1
5,12,0.1,1,[589],10,1133,32,2,485,42.806707855251545,[],1
5,12,0.1,1,[589],10,1133,33,1,486,42.89496910856134,[],1
5,12,0.1,1,[589],10,1133,34,0,486,42.89496910856134,[],1
5,12,0.1,1,[286],11,1133,35,0,487,42.983230361871136,[],1
5,12,0.1,2,"[104, 22]",2,1133,1,17,19,1.6769638128861428,[],1
5,12,0.1,2,"[104, 22]",2,1133,2,33,52,4.5895851721094445,[],1
5,12,0.1,2,"[104, 22]",2,1133,3,56,108,9.532215357458076,[],1
5,12,0.1,2,"[104, 22]",2,1133,4,74,182,16.063548102383056,[],1
5,12,0.1,2,"[104, 22]",2,1133,5,99,281,24.801412180052957,[],1
5,12,0.1,2,"[104, 22]",2,1133,6,72,353,31.156222418358343,[],1
5,12,0.1,2,"[104, 22]",2,1133,7,47,400,35.3045013239188,[],1
5,12,0.1,2,"[104, 22]",2,1133,8,36,436,38.48190644307149,[],1
5,12,0.1,2,"[104, 22]",2,1133,9,19,455,40.15887025595764,[],1
5,12,0.1,2,"[104, 22]",2,1133,10,6,461,40.68843777581642,[],1
5,12,0.1,2,"[104, 22]",2,1133,11,3,464,40.95322153574581,[],1
5,12,0.1,2,"[104, 22]",2,1133,12,3,467,41.2180052956752,[],1
5,12,0.1,2,"[104, 22]",2,1133,13,0,467,41.2180052956752,[],1
5,12,0.1,2,"[40, 182]",4,1133,14,0,469,41.394527802294796,[],1
5,12,0.1,2,"[587, 127]",6,1133,15,2,473,41.74757281553398,[],1
5,12,0.1,2,"[587, 127]",6,1133,16,2,475,41.924095322153576,[],1
5,12,0.1,2,"[587, 127]",6,1133,17,1,476,42.01235657546337,[],1
5,12,0.1,2,"[587, 127]",6,1133,18,0,476,42.01235657546337,[],1
5,12,0.1,2,"[44, 37]",8,1133,19,0,478,42.18887908208296,[],1
5,12,0.1,2,"[774, 211]",10,1133,20,1,481,42.453662842012356,[],1
5,12,0.1,2,"[774, 211]",10,1133,21,1,482,42.54192409532215,[],1
5,12,0.1,2,"[774, 211]",10,1133,22,1,483,42.63018534863195,[],1
5,12,0.1,2,"[774, 211]",10,1133,23,1,484,42.71844660194174,[],1
5,12,0.1,2,"[774, 211]",10,1133,24,0,484,42.71844660194174,[],1
5,12,0.1,1,[589],11,1133,25,0,485,42.806707855251545,[],1
5,12,0.1,4,"[104, 22, 332, 15]",4,1133,1,24,28,2.471315092674316,[],1
5,12,0.1,4,"[104, 22, 332, 15]",4,1133,2,50,78,6.884377758164166,[],1
5,12,0.1,4,"[104, 22, 332, 15]",4,1133,3,76,154,13.592233009708737,[],1
5,12,0.1,4,"[104, 22, 332, 15]",4,1133,4,87,241,21.270962047661076,[],1
5,12,0.1,4,"[104, 22, 332, 15]",4,1133,5,88,329,29.037952338923212,[],1
5,12,0.1,4,"[104, 22, 332, 15]",4,1133,6,51,380,33.53927625772286,[],1
5,12,0.1,4,"[104, 22, 332, 15]",4,1133,7,36,416,36.716681376875556,[],1
5,12,0.1,4,"[104, 22, 332, 15]",4,1133,8,27,443,39.09973521624007,[],1
5,12,0.1,4,"[104, 22, 332, 15]",4,1133,9,16,459,40.51191526919683,[],1
5,12,0.1,4,"[104, 22, 332, 15]",4,1133,10,2,461,40.68843777581642,[],1
5,12,0.1,4,"[104, 22, 332, 15]",4,1133,11,3,464,40.95322153574581,[],1
5,12,0.1,4,"[104, 22, 332, 15]",4,1133,12,3,467,41.2180052956752,[],1
5,12,0.1,4,"[104, 22, 332, 15]",4,1133,13,0,467,41.2180052956752,[],1
5,12,0.1,4,"[40, 182, 587, 127]",8,1133,14,0,471,41.57105030891439,[],1
5,12,0.1,3,"[44, 37, 774]",11,1133,15,3,477,42.10061782877317,[],1
5,12,0.1,3,"[44, 37, 774]",11,1133,16,3,480,42.36540158870256,[],1
5,12,0.1,3,"[44, 37, 774]",11,1133,17,0,480,42.36540158870256,[],1
5,12,0.1,8,"[104, 22, 332, 15, 40, 41, 232, 75]",8,1133,1,40,48,4.236540158870256,[],1
5,12,0.1,8,"[104, 22, 332, 15, 40, 41, 232, 75]",8,1133,2,73,121,10.679611650485436,[],1
5,12,0.1,8,"[104, 22, 332, 15, 40, 41, 232, 75]",8,1133,3,98,219,19.329214474845543,[],1
5,12,0.1,8,"[104, 22, 332, 15, 40, 41, 232, 75]",8,1133,4,95,314,27.714033539276254,[],1
5,12,0.1,8,"[104, 22, 332, 15, 40, 41, 232, 75]",8,1133,5,77,391,34.510150044130626,[],1
5,12,0.1,8,"[104, 22, 332, 15, 40, 41, 232, 75]",8,1133,6,37,428,37.775816416593116,[],1
