nr,nazwa,pp,numberOfSeeds,seeds,totalNumberOfSeeds,numberOfNodes,step,infectedPerStep,infectedTotal,infectedTotalPercentage,computionalTime,limitPercentage
5,12,0.1,1,[104],1,1133,1,11,12,1.059135039717564,[],2
5,12,0.1,1,[104],1,1133,2,18,30,2.64783759929391,[],2
5,12,0.1,1,[104],1,1133,3,26,56,4.942630185348632,[],2
5,12,0.1,1,[104],1,1133,4,42,98,8.649602824360105,[],2
5,12,0.1,1,[104],1,1133,5,71,169,14.916151809355693,[],2
5,12,0.1,1,[104],1,1133,6,74,243,21.44748455428067,[],2
5,12,0.1,1,[104],1,1133,7,53,296,26.12533097969991,[],2
5,12,0.1,1,[104],1,1133,8,59,355,31.332744924977934,[],2
5,12,0.1,1,[104],1,1133,9,42,397,35.039717563989406,[],2
5,12,0.1,1,[104],1,1133,10,34,431,38.0406001765225,[],2
5,12,0.1,1,[104],1,1133,11,16,447,39.45278022947926,[],2
5,12,0.1,1,[104],1,1133,12,10,457,40.33539276257723,[],2
5,12,0.1,1,[104],1,1133,13,4,461,40.68843777581642,[],2
5,12,0.1,1,[104],1,1133,14,1,462,40.77669902912621,[],2
5,12,0.1,1,[104],1,1133,15,2,464,40.95322153574581,[],2
5,12,0.1,1,[104],1,1133,16,3,467,41.2180052956752,[],2
5,12,0.1,1,[104],1,1133,17,0,467,41.2180052956752,[],2
5,12,0.1,1,[40],2,1133,18,0,468,41.30626654898499,[],2
5,12,0.1,1,[182],3,1133,19,2,471,41.57105030891439,[],2
5,12,0.1,1,[182],3,1133,20,1,472,41.65931156222418,[],2
5,12,0.1,1,[182],3,1133,21,0,472,41.65931156222418,[],2
5,12,0.1,1,[587],4,1133,22,0,473,41.74757281553398,[],2
5,12,0.1,1,[127],5,1133,23,0,474,41.83583406884378,[],2
5,12,0.1,1,[44],6,1133,24,1,476,42.01235657546337,[],2
5,12,0.1,1,[44],6,1133,25,1,477,42.10061782877317,[],2
5,12,0.1,1,[44],6,1133,26,0,477,42.10061782877317,[],2
5,12,0.1,1,[37],7,1133,27,0,478,42.18887908208296,[],2
5,12,0.1,1,[774],8,1133,28,1,480,42.36540158870256,[],2
5,12,0.1,1,[774],8,1133,29,0,480,42.36540158870256,[],2
5,12,0.1,1,[211],9,1133,30,0,481,42.453662842012356,[],2
5,12,0.1,1,[589],10,1133,31,1,483,42.63018534863195,[],2
5,12,0.1,1,[589],10,1133,32,2,485,42.806707855251545,[],2
5,12,0.1,1,[589],10,1133,33,1,486,42.89496910856134,[],2
5,12,0.1,1,[589],10,1133,34,0,486,42.89496910856134,[],2
5,12,0.1,1,[286],11,1133,35,0,487,42.983230361871136,[],2
5,12,0.1,1,[130],12,1133,36,2,490,43.24801412180053,[],2
5,12,0.1,1,[130],12,1133,37,2,492,43.42453662842012,[],2
5,12,0.1,1,[130],12,1133,38,1,493,43.51279788172992,[],2
5,12,0.1,1,[130],12,1133,39,0,493,43.51279788172992,[],2
5,12,0.1,1,[72],13,1133,40,0,494,43.60105913503972,[],2
5,12,0.1,1,[204],14,1133,41,0,495,43.689320388349515,[],2
5,12,0.1,1,[1004],15,1133,42,2,498,43.95410414827891,[],2
5,12,0.1,1,[1004],15,1133,43,1,499,44.042365401588704,[],2
5,12,0.1,1,[1004],15,1133,44,0,499,44.042365401588704,[],2
5,12,0.1,1,[414],16,1133,45,0,500,44.1306266548985,[],2
5,12,0.1,1,[848],17,1133,46,1,502,44.3071491615181,[],2
5,12,0.1,1,[848],17,1133,47,1,503,44.39541041482789,[],2
5,12,0.1,1,[848],17,1133,48,0,503,44.39541041482789,[],2
5,12,0.1,1,[705],18,1133,49,0,504,44.48367166813769,[],2
5,12,0.1,1,[311],19,1133,50,1,506,44.66019417475729,[],2
5,12,0.1,1,[311],19,1133,51,2,508,44.83671668137688,[],2
5,12,0.1,1,[311],19,1133,52,0,508,44.83671668137688,[],2
5,12,0.1,1,[269],20,1133,53,0,509,44.92497793468667,[],2
5,12,0.1,1,[157],21,1133,54,0,510,45.01323918799647,[],2
5,12,0.1,1,[84],22,1133,55,1,512,45.18976169461607,[],2
5,12,0.1,1,[84],22,1133,56,2,514,45.36628420123566,[],2
5,12,0.1,1,[84],22,1133,57,1,515,45.45454545454545,[],2
5,12,0.1,1,[84],22,1133,58,1,516,45.54280670785525,[],2
5,12,0.1,1,[84],22,1133,59,1,517,45.63106796116505,[],2
5,12,0.1,1,[84],22,1133,60,1,518,45.71932921447485,[],2
5,12,0.1,1,[84],22,1133,61,2,520,45.89585172109444,[],2
5,12,0.1,1,[84],22,1133,62,1,521,45.98411297440423,[],2
5,12,0.1,1,[84],22,1133,63,1,522,46.072374227714036,[],2
5,12,0.1,1,[84],22,1133,64,0,522,46.072374227714036,[],2
5,12,0.1,2,"[104, 22]",2,1133,1,17,19,1.6769638128861428,[],2
5,12,0.1,2,"[104, 22]",2,1133,2,33,52,4.5895851721094445,[],2
5,12,0.1,2,"[104, 22]",2,1133,3,56,108,9.532215357458076,[],2
5,12,0.1,2,"[104, 22]",2,1133,4,74,182,16.063548102383056,[],2
5,12,0.1,2,"[104, 22]",2,1133,5,99,281,24.801412180052957,[],2
5,12,0.1,2,"[104, 22]",2,1133,6,72,353,31.156222418358343,[],2
5,12,0.1,2,"[104, 22]",2,1133,7,47,400,35.3045013239188,[],2
5,12,0.1,2,"[104, 22]",2,1133,8,36,436,38.48190644307149,[],2
5,12,0.1,2,"[104, 22]",2,1133,9,19,455,40.15887025595764,[],2
5,12,0.1,2,"[104, 22]",2,1133,10,6,461,40.68843777581642,[],2
5,12,0.1,2,"[104, 22]",2,1133,11,3,464,40.95322153574581,[],2
5,12,0.1,2,"[104, 22]",2,1133,12,3,467,41.2180052956752,[],2
5,12,0.1,2,"[104, 22]",2,1133,13,0,467,41.2180052956752,[],2
5,12,0.1,2,"[40, 182]",4,1133,14,0,469,41.394527802294796,[],2
5,12,0.1,2,"[587, 127]",6,1133,15,2,473,41.74757281553398,[],2
5,12,0.1,2,"[587, 127]",6,1133,16,2,475,41.924095322153576,[],2
5,12,0.1,2,"[587, 127]",6,1133,17,1,476,42.01235657546337,[],2
5,12,0.1,2,"[587, 127]",6,1133,18,0,476,42.01235657546337,[],2
5,12,0.1,2,"[44, 37]",8,1133,19,0,478,42.18887908208296,[],2
5,12,0.1,2,"[774, 211]",10,1133,20,1,481,42.453662842012356,[],2
5,12,0.1,2,"[774, 211]",10,1133,21,1,482,42.54192409532215,[],2
5,12,0.1,2,"[774, 211]",10,1133,22,1,483,42.63018534863195,[],2
5,12,0.1,2,"[774, 211]",10,1133,23,1,484,42.71844660194174,[],2
5,12,0.1,2,"[774, 211]",10,1133,24,0,484,42.71844660194174,[],2
5,12,0.1,2,"[589, 286]",12,1133,25,0,486,42.89496910856134,[],2
5,12,0.1,2,"[130, 72]",14,1133,26,3,491,43.336275375110326,[],2
5,12,0.1,2,"[130, 72]",14,1133,27,2,493,43.51279788172992,[],2
5,12,0.1,2,"[130, 72]",14,1133,28,1,494,43.60105913503972,[],2
5,12,0.1,2,"[130, 72]",14,1133,29,0,494,43.60105913503972,[],2
5,12,0.1,2,"[204, 1004]",16,1133,30,0,496,43.77758164165931,[],2
5,12,0.1,2,"[414, 848]",18,1133,31,2,500,44.1306266548985,[],2
5,12,0.1,2,"[414, 848]",18,1133,32,3,503,44.39541041482789,[],2
5,12,0.1,2,"[414, 848]",18,1133,33,0,503,44.39541041482789,[],2
5,12,0.1,2,"[705, 311]",20,1133,34,0,505,44.571932921447484,[],2
5,12,0.1,2,"[269, 157]",22,1133,35,3,510,45.01323918799647,[],2
5,12,0.1,2,"[269, 157]",22,1133,36,1,511,45.10150044130627,[],2
5,12,0.1,2,"[269, 157]",22,1133,37,1,512,45.18976169461607,[],2
5,12,0.1,2,"[269, 157]",22,1133,38,0,512,45.18976169461607,[],2
5,12,0.1,2,"[84, 135]",24,1133,39,0,514,45.36628420123566,[],2
5,12,0.1,2,"[693, 1068]",26,1133,40,1,517,45.63106796116505,[],2
5,12,0.1,2,"[693, 1068]",26,1133,41,1,518,45.71932921447485,[],2
5,12,0.1,2,"[693, 1068]",26,1133,42,1,519,45.80759046778464,[],2
5,12,0.1,2,"[693, 1068]",26,1133,43,1,520,45.89585172109444,[],2
5,12,0.1,2,"[693, 1068]",26,1133,44,1,521,45.98411297440423,[],2
5,12,0.1,2,"[693, 1068]",26,1133,45,2,523,46.16063548102383,[],2
5,12,0.1,2,"[693, 1068]",26,1133,46,1,524,46.24889673433363,[],2
5,12,0.1,2,"[693, 1068]",26,1133,47,1,525,46.33715798764342,[],2
5,12,0.1,2,"[693, 1068]",26,1133,48,0,525,46.33715798764342,[],2
5,12,0.1,2,"[24, 91]",28,1133,49,0,527,46.51368049426302,[],2
5,12,0.1,2,"[417, 333]",30,1133,50,1,530,46.77846425419241,[],2
5,12,0.1,2,"[417, 333]",30,1133,51,0,530,46.77846425419241,[],2
5,12,0.1,2,"[446, 339]",32,1133,52,0,532,46.954986760812,[],2
