nr,nazwa,pp,numberOfSeeds,seeds,totalNumberOfSeeds,numberOfNodes,steps,infectedTotal,infectedTotalPercentage,computionalTime,limitPercentage
5,12,0.1,1,1,33,1133,82,543,47.92586054721977,[],3
5,12,0.1,2,2,33,1133,56,541,47.74933804060018,[],3
5,12,0.1,4,4,33,1133,40,539,47.57281553398058,[],3
5,12,0.1,8,8,33,1133,24,530,46.77846425419241,[],3
5,12,0.1,16,16,33,1133,17,512,45.18976169461607,[],3
4,12,0.1,1,1,33,1133,89,451,39.80582524271845,[],3
4,12,0.1,2,2,33,1133,56,445,39.27625772285966,[],3
4,12,0.1,4,4,33,1133,37,439,38.74669020300088,[],3
4,12,0.1,8,8,33,1133,28,428,37.775816416593116,[],3
4,12,0.1,16,16,33,1133,19,414,36.54015887025596,[],3
6,12,0.1,1,1,33,1133,92,441,38.92321270962047,[],3
6,12,0.1,2,2,33,1133,61,434,38.305383936451896,[],3
6,12,0.1,4,4,33,1133,43,426,37.59929390997352,[],3
6,12,0.1,8,8,33,1133,25,411,36.27537511032657,[],3
6,12,0.1,16,16,33,1133,18,381,33.627537511032656,[],3
7,12,0.1,1,1,33,1133,85,469,41.394527802294796,[],3
7,12,0.1,2,2,33,1133,53,470,41.48278905560459,[],3
7,12,0.1,4,4,33,1133,36,464,40.95322153574581,[],3
7,12,0.1,8,8,33,1133,22,443,39.09973521624007,[],3
7,12,0.1,16,16,33,1133,15,424,37.42277140335393,[],3
10,12,0.1,1,1,33,1133,84,477,42.10061782877317,[],3
10,12,0.1,2,2,33,1133,62,478,42.18887908208296,[],3
10,12,0.1,4,4,33,1133,35,474,41.83583406884378,[],3
10,12,0.1,8,8,33,1133,26,465,41.04148278905561,[],3
10,12,0.1,16,16,33,1133,19,448,39.541041482789055,[],3
3,12,0.1,1,1,33,1133,91,523,46.16063548102383,[],3
3,12,0.1,2,2,33,1133,59,522,46.072374227714036,[],3
3,12,0.1,4,4,33,1133,42,520,45.89585172109444,[],3
3,12,0.1,8,8,33,1133,27,497,43.865842894969106,[],3
3,12,0.1,16,16,33,1133,21,482,42.54192409532215,[],3
2,12,0.1,1,1,33,1133,76,462,40.77669902912621,[],3
2,12,0.1,2,2,33,1133,48,460,40.60017652250662,[],3
2,12,0.1,4,4,33,1133,31,458,40.42365401588703,[],3
2,12,0.1,8,8,33,1133,23,450,39.71756398940865,[],3
2,12,0.1,16,16,33,1133,19,440,38.83495145631068,[],3
1,12,0.1,1,1,33,1133,89,474,41.83583406884378,[],3
1,12,0.1,2,2,33,1133,60,468,41.30626654898499,[],3
1,12,0.1,4,4,33,1133,39,466,41.1297440423654,[],3
1,12,0.1,8,8,33,1133,25,447,39.45278022947926,[],3
1,12,0.1,16,16,33,1133,20,436,38.48190644307149,[],3
9,12,0.1,1,1,33,1133,82,504,44.48367166813769,[],3
9,12,0.1,2,2,33,1133,53,501,44.2188879082083,[],3
9,12,0.1,4,4,33,1133,37,496,43.77758164165931,[],3
9,12,0.1,8,8,33,1133,22,478,42.18887908208296,[],3
9,12,0.1,16,16,33,1133,17,462,40.77669902912621,[],3
8,12,0.1,1,1,33,1133,78,521,45.98411297440423,[],3
8,12,0.1,2,2,33,1133,53,520,45.89585172109444,[],3
8,12,0.1,4,4,33,1133,37,515,45.45454545454545,[],3
8,12,0.1,8,8,33,1133,26,508,44.83671668137688,[],3
8,12,0.1,16,16,33,1133,18,493,43.51279788172992,[],3
