nr,nazwa,pp,numberOfSeeds,seeds,numberOfNodes,step,infectedPerStep,infectedTotal,infectedTotalPercentage,computionalTime,limitPercentage
5,12,0.9,1,[104],1,1,63,64,5.648720211827008,[],1
5,12,0.9,1,[104],1,2,363,427,37.68755516328332,[],1
5,12,0.9,1,[104],1,3,534,961,84.81906443071492,[],1
5,12,0.9,1,[104],1,4,147,1108,97.79346866725508,[],1
5,12,0.9,1,[104],1,5,11,1119,98.76434245366285,[],1
5,12,0.9,1,[104],1,6,0,1119,98.76434245366285,[],1
5,12,0.9,1,[1128],2,7,0,1120,98.85260370697264,[],1
5,12,0.9,1,[759],3,8,0,1121,98.94086496028244,[],1
5,12,0.9,1,[963],4,9,0,1122,99.02912621359224,[],1
5,12,0.9,1,[1080],5,10,0,1123,99.11738746690203,[],1
5,12,0.9,1,[1055],6,11,0,1124,99.20564872021183,[],1
5,12,0.9,1,[317],7,12,0,1125,99.29390997352162,[],1
5,12,0.9,1,[678],8,13,0,1126,99.38217122683142,[],1
5,12,0.9,1,[174],9,14,0,1127,99.47043248014121,[],1
5,12,0.9,1,[999],10,15,0,1128,99.55869373345102,[],1
5,12,0.9,1,[1032],11,16,0,1129,99.64695498676082,[],1
5,12,0.9,2,"[104, 22]",2,1,100,102,9.002647837599294,[],1
5,12,0.9,2,"[104, 22]",2,2,484,586,51.72109443954104,[],1
5,12,0.9,2,"[104, 22]",2,3,462,1048,92.49779346866725,[],1
5,12,0.9,2,"[104, 22]",2,4,69,1117,98.58781994704324,[],1
5,12,0.9,2,"[104, 22]",2,5,2,1119,98.76434245366285,[],1
5,12,0.9,2,"[104, 22]",2,6,0,1119,98.76434245366285,[],1
5,12,0.9,2,"[248, 1055]",4,7,0,1121,98.94086496028244,[],1
5,12,0.9,2,"[1080, 1032]",6,8,0,1123,99.11738746690203,[],1
5,12,0.9,2,"[762, 174]",8,9,0,1125,99.29390997352162,[],1
5,12,0.9,2,"[317, 999]",10,10,0,1127,99.47043248014121,[],1
5,12,0.9,1,[1027],11,11,0,1128,99.55869373345102,[],1
5,12,0.9,4,"[104, 22, 332, 15]",4,1,162,166,14.651368049426303,[],1
5,12,0.9,4,"[104, 22, 332, 15]",4,2,559,725,63.98940864960282,[],1
5,12,0.9,4,"[104, 22, 332, 15]",4,3,357,1082,95.49867608120036,[],1
5,12,0.9,4,"[104, 22, 332, 15]",4,4,36,1118,98.67608120035305,[],1
5,12,0.9,4,"[104, 22, 332, 15]",4,5,1,1119,98.76434245366285,[],1
5,12,0.9,4,"[104, 22, 332, 15]",4,6,0,1119,98.76434245366285,[],1
5,12,0.9,4,"[248, 1055, 759, 174]",8,7,0,1123,99.11738746690203,[],1
5,12,0.9,3,"[317, 999, 678]",11,8,0,1126,99.38217122683142,[],1
5,12,0.9,8,"[104, 22, 332, 15, 40, 41, 232, 75]",8,1,271,279,24.624889673433362,[],1
5,12,0.9,8,"[104, 22, 332, 15, 40, 41, 232, 75]",8,2,615,894,78.90556045895852,[],1
5,12,0.9,8,"[104, 22, 332, 15, 40, 41, 232, 75]",8,3,208,1102,97.2639011473963,[],1
5,12,0.9,8,"[104, 22, 332, 15, 40, 41, 232, 75]",8,4,17,1119,98.76434245366285,[],1
5,12,0.9,8,"[104, 22, 332, 15, 40, 41, 232, 75]",8,5,0,1119,98.76434245366285,[],1
5,12,0.9,3,"[759, 857, 317]",11,6,0,1122,99.02912621359224,[],1
5,12,0.9,11,"[104, 22, 332, 15, 40, 41, 232, 75, 23, 195, 71]",11,1,330,341,30.097087378640776,[],1
5,12,0.9,11,"[104, 22, 332, 15, 40, 41, 232, 75, 23, 195, 71]",11,2,601,942,83.14210061782877,[],1
5,12,0.9,11,"[104, 22, 332, 15, 40, 41, 232, 75, 23, 195, 71]",11,3,164,1106,97.61694616063548,[],1
5,12,0.9,11,"[104, 22, 332, 15, 40, 41, 232, 75, 23, 195, 71]",11,4,13,1119,98.76434245366285,[],1
5,12,0.9,11,"[104, 22, 332, 15, 40, 41, 232, 75, 23, 195, 71]",11,5,0,1119,98.76434245366285,[],1
4,12,0.9,1,[104],1,1,67,68,6.001765225066196,[],1
4,12,0.9,1,[104],1,2,359,427,37.68755516328332,[],1
4,12,0.9,1,[104],1,3,522,949,83.75992939099736,[],1
4,12,0.9,1,[104],1,4,155,1104,97.44042365401589,[],1
4,12,0.9,1,[104],1,5,13,1117,98.58781994704324,[],1
4,12,0.9,1,[104],1,6,0,1117,98.58781994704324,[],1
4,12,0.9,1,[1128],2,7,0,1118,98.67608120035305,[],1
4,12,0.9,1,[1115],3,8,0,1119,98.76434245366285,[],1
4,12,0.9,1,[798],4,9,0,1120,98.85260370697264,[],1
4,12,0.9,1,[515],5,10,0,1121,98.94086496028244,[],1
4,12,0.9,1,[856],6,11,0,1122,99.02912621359224,[],1
4,12,0.9,1,[969],7,12,0,1123,99.11738746690203,[],1
