nr,nazwa,pp,numberOfSeeds,seeds,numberOfNodes,step,infectedPerStep,infectedTotal,infectedTotalPercentage,computionalTime,limitPercentage
5,12,0.1,1,[104],1,1,11,12,1.059135039717564,[],3
5,12,0.1,1,[104],1,2,18,30,2.64783759929391,[],3
5,12,0.1,1,[104],1,3,26,56,4.942630185348632,[],3
5,12,0.1,1,[104],1,4,42,98,8.649602824360105,[],3
5,12,0.1,1,[104],1,5,71,169,14.916151809355693,[],3
5,12,0.1,1,[104],1,6,74,243,21.44748455428067,[],3
5,12,0.1,1,[104],1,7,53,296,26.12533097969991,[],3
5,12,0.1,1,[104],1,8,59,355,31.332744924977934,[],3
5,12,0.1,1,[104],1,9,42,397,35.039717563989406,[],3
5,12,0.1,1,[104],1,10,34,431,38.0406001765225,[],3
5,12,0.1,1,[104],1,11,16,447,39.45278022947926,[],3
5,12,0.1,1,[104],1,12,10,457,40.33539276257723,[],3
5,12,0.1,1,[104],1,13,4,461,40.68843777581642,[],3
5,12,0.1,1,[104],1,14,1,462,40.77669902912621,[],3
5,12,0.1,1,[104],1,15,2,464,40.95322153574581,[],3
5,12,0.1,1,[104],1,16,3,467,41.2180052956752,[],3
5,12,0.1,1,[104],1,17,0,467,41.2180052956752,[],3
5,12,0.1,1,[40],2,18,0,468,41.30626654898499,[],3
5,12,0.1,1,[204],3,19,2,471,41.57105030891439,[],3
5,12,0.1,1,[204],3,20,4,475,41.924095322153576,[],3
5,12,0.1,1,[204],3,21,2,477,42.10061782877317,[],3
5,12,0.1,1,[204],3,22,0,477,42.10061782877317,[],3
5,12,0.1,1,[286],4,23,0,478,42.18887908208296,[],3
5,12,0.1,1,[44],5,24,2,481,42.453662842012356,[],3
5,12,0.1,1,[44],5,25,1,482,42.54192409532215,[],3
5,12,0.1,1,[44],5,26,1,483,42.63018534863195,[],3
5,12,0.1,1,[44],5,27,0,483,42.63018534863195,[],3
5,12,0.1,1,[211],6,28,0,484,42.71844660194174,[],3
5,12,0.1,1,[182],7,29,1,486,42.89496910856134,[],3
5,12,0.1,1,[182],7,30,1,487,42.983230361871136,[],3
5,12,0.1,1,[182],7,31,0,487,42.983230361871136,[],3
5,12,0.1,1,[84],8,32,0,488,43.07149161518093,[],3
5,12,0.1,1,[130],9,33,1,490,43.24801412180053,[],3
5,12,0.1,1,[130],9,34,2,492,43.42453662842012,[],3
5,12,0.1,1,[130],9,35,1,493,43.51279788172992,[],3
5,12,0.1,1,[130],9,36,1,494,43.60105913503972,[],3
5,12,0.1,1,[130],9,37,1,495,43.689320388349515,[],3
5,12,0.1,1,[130],9,38,2,497,43.865842894969106,[],3
5,12,0.1,1,[130],9,39,1,498,43.95410414827891,[],3
5,12,0.1,1,[130],9,40,1,499,44.042365401588704,[],3
5,12,0.1,1,[130],9,41,0,499,44.042365401588704,[],3
5,12,0.1,1,[72],10,42,0,500,44.1306266548985,[],3
5,12,0.1,1,[587],11,43,0,501,44.2188879082083,[],3
5,12,0.1,1,[1004],12,44,0,502,44.3071491615181,[],3
5,12,0.1,1,[127],13,45,0,503,44.39541041482789,[],3
5,12,0.1,1,[693],14,46,1,505,44.571932921447484,[],3
5,12,0.1,1,[693],14,47,1,506,44.66019417475729,[],3
5,12,0.1,1,[693],14,48,0,506,44.66019417475729,[],3
5,12,0.1,1,[157],15,49,0,507,44.74845542806708,[],3
5,12,0.1,1,[414],16,50,1,509,44.92497793468667,[],3
5,12,0.1,1,[414],16,51,2,511,45.10150044130627,[],3
5,12,0.1,1,[414],16,52,0,511,45.10150044130627,[],3
5,12,0.1,1,[589],17,53,0,512,45.18976169461607,[],3
5,12,0.1,1,[114],18,54,1,514,45.36628420123566,[],3
5,12,0.1,1,[114],18,55,1,515,45.45454545454545,[],3
5,12,0.1,1,[114],18,56,1,516,45.54280670785525,[],3
5,12,0.1,1,[114],18,57,0,516,45.54280670785525,[],3
5,12,0.1,1,[24],19,58,0,517,45.63106796116505,[],3
5,12,0.1,1,[269],20,59,0,518,45.71932921447485,[],3
5,12,0.1,1,[135],21,60,0,519,45.80759046778464,[],3
5,12,0.1,1,[91],22,61,0,520,45.89585172109444,[],3
5,12,0.1,1,[357],23,62,1,522,46.072374227714036,[],3
5,12,0.1,1,[357],23,63,1,523,46.16063548102383,[],3
5,12,0.1,1,[357],23,64,0,523,46.16063548102383,[],3
5,12,0.1,1,[994],24,65,0,524,46.24889673433363,[],3
5,12,0.1,1,[705],25,66,1,526,46.42541924095322,[],3
5,12,0.1,1,[705],25,67,2,528,46.601941747572816,[],3
5,12,0.1,1,[705],25,68,1,529,46.69020300088261,[],3
5,12,0.1,1,[705],25,69,0,529,46.69020300088261,[],3
5,12,0.1,1,[1068],26,70,0,530,46.77846425419241,[],3
5,12,0.1,1,[58],27,71,0,531,46.8667255075022,[],3
5,12,0.1,1,[633],28,72,0,532,46.954986760812,[],3
5,12,0.1,1,[116],29,73,2,535,47.21977052074139,[],3
5,12,0.1,1,[116],29,74,1,536,47.30803177405119,[],3
5,12,0.1,1,[116],29,75,0,536,47.30803177405119,[],3
5,12,0.1,1,[361],30,76,0,537,47.39629302736098,[],3
5,12,0.1,1,[450],31,77,0,538,47.484554280670785,[],3
5,12,0.1,1,[394],32,78,2,541,47.74933804060018,[],3
5,12,0.1,1,[394],32,79,1,542,47.837599293909975,[],3
5,12,0.1,1,[394],32,80,0,542,47.837599293909975,[],3
5,12,0.1,1,[956],33,81,0,543,47.92586054721977,[],3
5,12,0.1,2,"[104, 22]",2,1,17,19,1.6769638128861428,[],3
5,12,0.1,2,"[104, 22]",2,2,33,52,4.5895851721094445,[],3
5,12,0.1,2,"[104, 22]",2,3,56,108,9.532215357458076,[],3
5,12,0.1,2,"[104, 22]",2,4,74,182,16.063548102383056,[],3
5,12,0.1,2,"[104, 22]",2,5,99,281,24.801412180052957,[],3
5,12,0.1,2,"[104, 22]",2,6,72,353,31.156222418358343,[],3
5,12,0.1,2,"[104, 22]",2,7,47,400,35.3045013239188,[],3
5,12,0.1,2,"[104, 22]",2,8,36,436,38.48190644307149,[],3
5,12,0.1,2,"[104, 22]",2,9,19,455,40.15887025595764,[],3
5,12,0.1,2,"[104, 22]",2,10,6,461,40.68843777581642,[],3
5,12,0.1,2,"[104, 22]",2,11,3,464,40.95322153574581,[],3
5,12,0.1,2,"[104, 22]",2,12,3,467,41.2180052956752,[],3
5,12,0.1,2,"[104, 22]",2,13,0,467,41.2180052956752,[],3
5,12,0.1,2,"[40, 204]",4,14,0,469,41.394527802294796,[],3
5,12,0.1,2,"[211, 286]",6,15,5,476,42.01235657546337,[],3
5,12,0.1,2,"[211, 286]",6,16,6,482,42.54192409532215,[],3
5,12,0.1,2,"[211, 286]",6,17,2,484,42.71844660194174,[],3
5,12,0.1,2,"[211, 286]",6,18,1,485,42.806707855251545,[],3
5,12,0.1,2,"[211, 286]",6,19,0,485,42.806707855251545,[],3
5,12,0.1,2,"[44, 182]",8,20,0,487,42.983230361871136,[],3
5,12,0.1,2,"[84, 130]",10,21,0,489,43.15975286849073,[],3
5,12,0.1,2,"[72, 587]",12,22,2,493,43.51279788172992,[],3
5,12,0.1,2,"[72, 587]",12,23,1,494,43.60105913503972,[],3
5,12,0.1,2,"[72, 587]",12,24,1,495,43.689320388349515,[],3
5,12,0.1,2,"[72, 587]",12,25,1,496,43.77758164165931,[],3
5,12,0.1,2,"[72, 587]",12,26,1,497,43.865842894969106,[],3
5,12,0.1,2,"[72, 587]",12,27,2,499,44.042365401588704,[],3
5,12,0.1,2,"[72, 587]",12,28,1,500,44.1306266548985,[],3
5,12,0.1,2,"[72, 587]",12,29,1,501,44.2188879082083,[],3
5,12,0.1,2,"[72, 587]",12,30,0,501,44.2188879082083,[],3
5,12,0.1,2,"[1004, 127]",14,31,0,503,44.39541041482789,[],3
5,12,0.1,2,"[693, 157]",16,32,1,506,44.66019417475729,[],3
5,12,0.1,2,"[693, 157]",16,33,2,508,44.83671668137688,[],3
5,12,0.1,2,"[693, 157]",16,34,1,509,44.92497793468667,[],3
5,12,0.1,2,"[693, 157]",16,35,0,509,44.92497793468667,[],3
5,12,0.1,2,"[414, 589]",18,36,0,511,45.10150044130627,[],3
5,12,0.1,2,"[114, 24]",20,37,2,515,45.45454545454545,[],3
5,12,0.1,2,"[114, 24]",20,38,1,516,45.54280670785525,[],3
5,12,0.1,2,"[114, 24]",20,39,1,517,45.63106796116505,[],3
5,12,0.1,2,"[114, 24]",20,40,0,517,45.63106796116505,[],3
5,12,0.1,2,"[269, 135]",22,41,0,519,45.80759046778464,[],3
5,12,0.1,2,"[91, 357]",24,42,0,521,45.98411297440423,[],3
5,12,0.1,2,"[994, 1068]",26,43,2,525,46.33715798764342,[],3
5,12,0.1,2,"[994, 1068]",26,44,1,526,46.42541924095322,[],3
5,12,0.1,2,"[994, 1068]",26,45,1,527,46.51368049426302,[],3
5,12,0.1,2,"[994, 1068]",26,46,1,528,46.601941747572816,[],3
5,12,0.1,2,"[994, 1068]",26,47,0,528,46.601941747572816,[],3
5,12,0.1,2,"[58, 633]",28,48,0,530,46.77846425419241,[],3
5,12,0.1,2,"[116, 361]",30,49,2,534,47.131509267431596,[],3
5,12,0.1,2,"[116, 361]",30,50,1,535,47.21977052074139,[],3
5,12,0.1,2,"[116, 361]",30,51,0,535,47.21977052074139,[],3
5,12,0.1,2,"[450, 394]",32,52,0,537,47.39629302736098,[],3
5,12,0.1,1,[956],33,53,2,540,47.661076787290376,[],3
5,12,0.1,1,[956],33,54,1,541,47.74933804060018,[],3
5,12,0.1,1,[956],33,55,0,541,47.74933804060018,[],3
5,12,0.1,4,"[104, 22, 332, 15]",4,1,24,28,2.471315092674316,[],3
