nr,nazwa,pp,numberOfSeeds,seeds,totalNumberOfSeeds,numberOfNodes,steps,infectedTotal,infectedTotalPercentage,computionalTime,limitPercentage
5,12,0.1,1,1,11,1133,44,501,44.2188879082083,[],1
5,12,0.1,2,2,11,1133,32,500,44.1306266548985,[],1
5,12,0.1,4,4,11,1133,19,490,43.24801412180053,[],1
5,12,0.1,8,8,11,1133,12,474,41.83583406884378,[],1
5,12,0.1,16,16,11,1133,11,471,41.57105030891439,[],1
4,12,0.1,1,1,11,1133,39,381,33.627537511032656,[],1
4,12,0.1,2,2,11,1133,29,379,33.451015004413065,[],1
4,12,0.1,4,4,11,1133,20,374,33.00970873786408,[],1
4,12,0.1,8,8,11,1133,16,343,30.27360988526037,[],1
4,12,0.1,16,16,11,1133,15,340,30.008826125330977,[],1
6,12,0.1,1,1,11,1133,39,365,32.21535745807591,[],1
6,12,0.1,2,2,11,1133,30,355,31.332744924977934,[],1
6,12,0.1,4,4,11,1133,21,345,30.450132391879965,[],1
6,12,0.1,8,8,11,1133,13,309,27.27272727272727,[],1
6,12,0.1,16,16,11,1133,10,313,27.62577228596646,[],1
7,12,0.1,1,1,11,1133,42,416,36.716681376875556,[],1
7,12,0.1,2,2,11,1133,31,408,36.01059135039718,[],1
7,12,0.1,4,4,11,1133,22,400,35.3045013239188,[],1
7,12,0.1,8,8,11,1133,12,367,32.3918799646955,[],1
7,12,0.1,16,16,11,1133,11,372,32.83318623124448,[],1
10,12,0.1,1,1,11,1133,43,414,36.54015887025596,[],1
10,12,0.1,2,2,11,1133,30,413,36.45189761694616,[],1
10,12,0.1,4,4,11,1133,19,412,36.36363636363637,[],1
10,12,0.1,8,8,11,1133,15,395,34.863195057369815,[],1
10,12,0.1,16,16,11,1133,14,392,34.59841129744042,[],1
3,12,0.1,1,1,11,1133,55,474,41.83583406884378,[],1
3,12,0.1,2,2,11,1133,35,469,41.394527802294796,[],1
3,12,0.1,4,4,11,1133,28,467,41.2180052956752,[],1
3,12,0.1,8,8,11,1133,15,411,36.27537511032657,[],1
3,12,0.1,16,16,11,1133,14,408,36.01059135039718,[],1
2,12,0.1,1,1,11,1133,42,421,37.15798764342454,[],1
2,12,0.1,2,2,11,1133,28,411,36.27537511032657,[],1
2,12,0.1,4,4,11,1133,19,406,35.83406884377759,[],1
2,12,0.1,8,8,11,1133,13,385,33.980582524271846,[],1
2,12,0.1,16,16,11,1133,12,382,33.71579876434245,[],1
1,12,0.1,1,1,11,1133,44,412,36.36363636363637,[],1
1,12,0.1,2,2,11,1133,32,403,35.56928508384819,[],1
1,12,0.1,4,4,11,1133,23,399,35.216240070609004,[],1
1,12,0.1,8,8,11,1133,15,361,31.862312444836714,[],1
1,12,0.1,16,16,11,1133,14,358,31.597528684907328,[],1
9,12,0.1,1,1,11,1133,37,444,39.187996469549866,[],1
9,12,0.1,2,2,11,1133,26,442,39.01147396293027,[],1
9,12,0.1,4,4,11,1133,19,433,38.2171226831421,[],1
9,12,0.1,8,8,11,1133,12,403,35.56928508384819,[],1
9,12,0.1,16,16,11,1133,11,400,35.3045013239188,[],1
8,12,0.1,1,1,11,1133,36,460,40.60017652250662,[],1
8,12,0.1,2,2,11,1133,27,457,40.33539276257723,[],1
8,12,0.1,4,4,11,1133,20,454,40.07060900264784,[],1
8,12,0.1,8,8,11,1133,15,438,38.658428949691086,[],1
8,12,0.1,16,16,11,1133,12,435,38.39364518976169,[],1
